NP_415169.1	WP_000776104.1	100	100	rlmH	b0636	rlmH	LF82_RS03010														Geneid		LF82_WT_1	LF82_WT_2	LF82_WT_3	SD105_1	SD105_2	SD105_3
NP_415540.1	WP_001061099.1	100	99.27	pgaD	b1021	pgaD	LF82_RS05180														LF82_RS16460	#N/A	4.75	11.55	11.67	9.17	4	8.32
NP_417184.1	WP_000216207.1	100	97.561	srlB	b2704	srlB	LF82_RS14020														LF82_RS16465	b3136	2.98	3.03	7.97	10.31	5.6	1.52
NP_415830.2	WP_001313788.1	100	99.237	ycjR	b1314	ycjR	LF82_RS06995														LF82_RS16470	b3137	0.74	1	4.14	2.03	2.94	1.07
NP_414637.1	WP_000462776.1	100	100	ftsZ	b0095	ftsZ	LF82_RS00495														LF82_RS16475	b3138	0.12	2.46	4.73	0	4.43	1.5
NP_416212.1	WP_000692160.1	100	97.244	ydiQ	b1697	ydiQ	LF82_RS08825														LF82_RS16480	b3139	3.5	1	0	1.35	2.2	0
NP_415614.1	WP_000478693.1	100	98.513	pabC	b1096	pabC	LF82_RS05545														LF82_RS16485	b3140	4.88	1.79	6.36	4.02	3.57	1
NP_418293.2	WP_000907613.1	100	98.857	mobB	b3856	mobB	LF82_RS20320														LF82_RS16490	b3141	6.7	1.58	8.14	8	7.17	3.41
NP_415236.1	WP_000207171.1	99	94.48	phr	b0708	phrB	LF82_RS03330														LF82_RS16495	b3146	79.73	45.38	101.11	50.45	77.74	47.48
NP_416993.2	WP_001295473.1	100	100	upp	b2498	upp	LF82_RS12905														LF82_RS16500	b3147	250.28	175.56	344.11	159.15	224.51	99.24
NP_416242.6	WP_001295408.1	100	99.49	ydjM	b1728	ydjM	LF82_RS08985														LF82_RS16505	b3148	96.57	63.47	111.83	58	112.45	63
NP_415713.1	WP_000511315.1	100	97.619	ymgE	b1195	ymgE	LF82_RS06320														LF82_RS16510	b3149	114	56.12	189.79	98.06	156.07	49.57
NP_417651.1	WP_000813040.1	100	99.688	yhbE	b3184	yhbE	LF82_RS16685														LF82_RS16515	b3150	114.93	59.61	215.53	102.29	129.96	70.83
NP_418364.1	WP_000872908.1	100	100	rraA	b3929	rraA	LF82_RS20715														LF82_RS16520	b3151	30.02	23.67	35.23	26	47.84	19.2
NP_417550.1	WP_000767638.1	100	98.315	ygjJ	b3079	ygjJ	LF82_RS16205														LF82_RS16525	b3152	9.65	8.86	11.93	13.1	27	6.83
NP_416769.1	WP_000070621.1	100	100	elaB	b2266	elaB	LF82_RS11935														LF82_RS16530	b3154	13.2	10.67	34.65	30.47	45.37	11.5
NP_417387.3	WP_001298273.1	100	99.451	fau	b2912	fau	LF82_RS15115														LF82_RS16535	b3155	15.5	6	15.33	17.7	36	4.67
YP_588464.1	WP_000439129.1	100	97.222	ypeB	b4546	ypeB	LF82_RS12570														LF82_RS16540	b3156	31.46	8.71	96.61	83	73.9	55.54
NP_414569.1	WP_000004655.1	100	100	fkpB	b0028	fkpB	LF82_RS00130														LF82_RS16545	b3157	29.39	9.32	86.43	76.1	61.82	46.08
NP_416277.1	WP_001235807.1	99	97.546	topB	b1763	topB	LF82_RS09155														LF82_RS16550	b3158	7.67	3.49	8.15	13.64	19.54	15.77
NP_415562.1	WP_000489568.1	100	94.175	ymdA	b1044	ymdA	LF82_RS05275														LF82_RS16555	b3159	9.45	7.08	5.33	20.5	23.08	12.3
YP_001165320.1	WP_000233090.1	100	96.296	ydgU	b4601	asr	LF82_RS08305														LF82_RS16560	b3160	7.11	9.53	32.64	22.17	26.8	15.29
NP_415411.2	WP_001295343.1	100	100	lolA	b0891	lolA	LF82_RS04295														LF82_RS16565	b3161	32.77	23.3	41.44	30.14	46.95	21.18
NP_418017.1	WP_001168544.1	100	99.67	glyQ	b3560	glyQ	LF82_RS18705														LF82_RS16575	b3162	735.5	452.16	435.83	833.79	1480.74	620.33
NP_418347.1	WP_000580417.1	100	100	cpxA	b3911	cpxA	LF82_RS20630														LF82_RS25370	b4685	89	55	85.06	115.08	194.5	47.5
NP_418519.1	WP_000586259.1	100	97.09	phnM	b4095	phnM	LF82_RS21730														LF82_RS16580	b3163	1553.33	1426.51	2175.08	2871.39	4489.46	1650.71
NP_418003.1	WP_000189047.1	99	97.995	yhjX	b3547	yhjX	LF82_RS18645														LF82_RS16585	b3164	1670.29	1228.39	1782.81	2043.39	3063.02	1614.35
NP_416008.1	WP_000350355.1	100	99.317	digH	b1491	digH	LF82_RS07645														LF82_RS16590	b3165	1851.63	1568.92	1535.4	1478.18	2151.03	609.25
NP_414746.1	WP_000211718.1	99	91.22	yafE	b0210	yafD	LF82_RS01095														LF82_RS16595	b3166	176.82	101.13	236.52	126.38	256.05	129.81
NP_417207.1	WP_000337669.1	100	99.655	hypB	b2727	hypB	LF82_RS14145														LF82_RS16600	b3167	92.29	48.25	108.02	78.25	122.83	56.17
YP_026259.1	WP_001187375.1	100	96.107	aslB	b3800	aslB	LF82_RS19930														LF82_RS16605	b3168	1910.58	1073.33	1570.56	1649.99	2287.98	1441.4
NP_415650.1	WP_001295971.1	100	99.531	hflD	b1132	hflD	LF82_RS05730														LF82_RS16610	b3169	1231.55	757.78	800.27	1126.38	1849.07	951.78
NP_418590.1	WP_000990267.1	100	97.753	amiB	b4169	amiB	LF82_RS22390														LF82_RS16615	b3170	535.2	397.67	493.15	447.24	831.39	393.44
NP_417311.1	WP_001199299.1	100	99.422	tas	b2834	tas	LF82_RS14820														LF82_RS16620	#N/A	7516.16	5543.13	14836.17	8798.4	15199.33	4118.29
NP_416300.2	WP_000766137.1	100	99.798	dgcJ	b1786	dgcJ	LF82_RS09280														LF82_RS16625	b3172	29.21	24.12	72.37	43.53	83.33	41.1
NP_416089.1	WP_042093010.1	100	96.078	ydfA	b1571	ydfA	LF82_RS08180														LF82_RS16630	b3173	22.99	11.94	23.35	9.79	22.34	9.08
NP_415929.1	WP_015912496.1	100	95.116	ynbD	b1411	ynbD	LF82_RS07255														LF82_RS16635	#N/A	24641.59	21149.5	51123.54	36300.68	49394.14	14615.04
NP_417202.1	WP_000115226.1	100	99.674	hycD	b2722	hycD	LF82_RS14115														LF82_RS16640	b3175	2149.06	1892.52	2005.92	1421.07	2366.76	899.7
NP_416802.1	WP_000437935.1	100	100	yfcD	b2299	yfcD	LF82_RS12085														LF82_RS16645	b3176	259.07	187.84	479.05	282.11	355.01	258.39
NP_415222.1	WP_000186082.1	99	99.554	kdpE	b0694	kdpE	LF82_RS03290														LF82_RS16650	b3177	83.1	55.84	217.85	124.17	170.62	102.23
NP_418194.1	WP_000135618.1	100	99.631	atpB	b3738	atpB	LF82_RS19630														LF82_RS16655	b3178	1527.98	979.91	2142.17	1308.62	1959.35	1302.3
NP_417504.1	WP_000444744.1	100	99.636	cpdA	b3032	cpdA	LF82_RS15950														LF82_RS16660	b3179	313.66	228.95	538.82	368.92	507.72	207.25
NP_418340.1	WP_000144109.1	100	98.16	rhaB	b3904	rhaB	LF82_RS20585														LF82_RS16665	b3180	281.12	206.12	381.04	258.83	493.67	236.25
NP_415509.1	WP_000087763.1	100	100	cspH	b0989	cspH	LF82_RS04715														LF82_RS16670	b3181	232.88	131.39	156.17	154.06	215.94	147.49
NP_417587.1	WP_000548347.1	100	100	tdcB	b3117	tdcB	LF82_RS16380														LF82_RS16675	b3182	93.41	67.3	145.59	135.56	231.42	70.1
NP_415420.1	WP_000910711.1	96	39.249	ycaN	b0900	ykgM	LF82_RS01510														LF82_RS16680	b3183	180.29	123.66	142.86	147.75	259.11	93.46
NP_417613.1	WP_000558664.1	99	40.814	yraJ	b3144	lpfC	LF82_RS18630														LF82_RS16685	b3184	160.97	147.69	92.95	130.45	249.24	90.5
NP_414672.1	WP_000277856.1	100	97.311	yadE	b0130	yadE	LF82_RS00700														LF82_RS16690	b3185	1873.1	1378.65	1551.86	1527.42	2363.42	1152.93
NP_417149.1	WP_001305253.1	100	99.142	gabP	b2663	gabP	LF82_RS13805														LF82_RS16695	b3186	2560.86	2009.14	2342.14	2129.8	3414.49	1778.51
NP_416994.1	WP_001295474.1	100	99.71	purM	b2499	purM	LF82_RS12910														LF82_RS16700	b3187	146.13	103.53	258.28	206.68	325.42	142.82
NP_415619.1	WP_000475719.1	100	100	ptsG	b1101	ptsG	LF82_RS05570														LF82_RS16705	b3188	10.46	7.25	16.2	14.25	26.43	19.25
NP_415310.1	WP_000650337.1	100	100	clsB	b0789	clsB	LF82_RS03740														LF82_RS16710	b3189	386.08	249.86	467.83	353.79	639.07	333.99
NP_415211.2	WP_001300829.1	100	100	ybfE	b0685	ybfE	LF82_RS03255														LF82_RS16715	b3190	83.14	46	67.5	47.18	108.25	57
NP_417649.1	WP_001212630.1	100	99.79	dacB	b3182	dacB	LF82_RS16675														LF82_RS16720	b3191	122.62	75.47	139.43	101.05	129.58	120
YP_026256.2	WP_001145189.1	100	99.107	rffC	b3790	rffC	LF82_RS19875														LF82_RS16725	b3192	176.71	120.28	257.67	148.23	227.53	97.92
NP_417196.1	WP_000110370.1	100	97.679	ascB	b2716	ascB	LF82_RS14080														LF82_RS16730	b3193	106.07	93.59	146.96	102.4	155.5	81.87
NP_414611.1	WP_014640096.1	100	97.459	sgrR	b0069	sgrR	LF82_RS00365														LF82_RS16735	b3194	153.41	83.53	191.28	134.46	208.59	98.7
NP_417924.1	WP_000042886.1	100	98.319	yhhM	b3467	yhhM	LF82_RS18150														LF82_RS16740	b3195	207.24	131.43	263.76	146.6	249.08	101.03
NP_416256.2	WP_000455604.1	100	97.382	ves	b1742	ves	LF82_RS09055														LF82_RS16745	b3196	189.59	164.35	322.18	134.02	159.92	60.5
NP_416248.1	WP_000078742.1	100	98.667	chbF	b1734	celF	LF82_RS09010														LF82_RS16750	b3197	200.83	177.62	444.11	187.37	304.07	126.85
NP_414675.1	WP_000905380.1	100	98.587	panC	b0133	panC	LF82_RS00715														LF82_RS16755	b3198	193.95	136.56	309.88	132.83	218.07	98.83
NP_415349.1	WP_000513805.1	100	98.131	iaaA	b0828	iaaA	LF82_RS03940														LF82_RS16760	b3199	229.47	155.23	328.58	179.58	294.22	98.89
NP_414570.1	WP_001166429.1	100	99.051	ispH	b0029	ispH	LF82_RS00135														LF82_RS16765	b3200	228.83	144.64	285.37	154.5	269.27	97.72
NP_416429.4	WP_001128237.1	100	99.695	dcyD	b1919	dcyD	LF82_RS09970														LF82_RS16770	b3201	251.52	176.87	307.25	161.34	292.87	144.21
NP_417719.1	WP_001148484.1	100	98.457	yhdH	b3253	yhdH	LF82_RS16995														LF82_RS16775	b3202	486.52	369.04	710.68	401.53	665.4	270.8
NP_417050.1	WP_001215879.1	100	98.312	qseG	b2555	qseG	LF82_RS13180														LF82_RS16780	b3203	144.33	122.18	266.61	116.5	208.36	79.5
NP_416311.1	WP_000939317.1	100	100	yeaR	b1797	yeaR	LF82_RS09340														LF82_RS16785	b3204	185.75	134	275.68	154	215.5	128.62
NP_418673.4	WP_000635215.1	100	84	tabA	b4252	arcA	LF82_RS22835														LF82_RS16790	b3205	323.73	218.93	385.45	233.13	412.37	170.94
NP_418682.1	WP_000584114.1	100	100	lptF	b4261	lptF	LF82_RS22875														LF82_RS16795	b3206	180.43	149.58	224.69	132	243.62	72.65
NP_415845.2	WP_000682995.1	100	99.441	mppA	b1329	mppA	LF82_RS07080														LF82_RS16800	b3207	286.86	281.67	617.78	160.96	157.59	64.81
YP_001165313.1	WP_000270305.1	100	100	appX	b4592	cbdX	LF82_RS04705														LF82_RS16805	b3208	106.6	74.2	240.06	63.58	108.37	47.56
NP_415311.1	WP_001113348.1	100	100	ybhP	b0790	ybhP	LF82_RS03745														LF82_RS16810	b3209	128.4	87.56	267.85	90.03	133.65	56.9
NP_415788.1	WP_000422062.1	100	99.427	sohB	b1272	sohB	LF82_RS06765														LF82_RS16815	b3210	295.8	196.42	595.19	279.43	289.8	152.65
NP_416298.1	WP_000219684.1	99	99.765	yeaH	b1784	yeaH	LF82_RS09270														LF82_RS16820	b3211	8.84	6.47	12.51	12.87	24.93	8.22
NP_417573.1	WP_000531180.1	100	98.476	yqjG	b3102	yqjG	LF82_RS16320														LF82_RS16825	b3212	95.89	92.49	130.76	50.15	64.36	21.84
NP_415961.1	WP_001163909.1	100	98.523	patD	b1444	patD	LF82_RS07400														LF82_RS16830	b3213	158.89	124.2	211.24	144.68	196.73	78.86
NP_415572.1	WP_001295958.1	100	99.673	lpxL	b1054	lpxL	LF82_RS05335														LF82_RS16835	b3220	20.43	16.47	48.47	9.54	17.67	9.21
NP_417820.1	WP_001280615.1	100	97.5	fic	b3361	fic	LF82_RS17605														LF82_RS16840	b3221	8.55	7.5	72.52	19.03	12.79	7.53
NP_416601.1	WP_000858523.1	100	99.294	yegT	b2098	yegT	LF82_RS11050														LF82_RS16845	b3222	10.42	6	70.72	19.15	11.49	8.6
NP_418196.1	WP_000932839.1	100	100	rsmG	b3740	rsmG	LF82_RS19640														LF82_RS16850	b3223	9.32	3.8	113.92	13.77	5.75	4.85
NP_416613.1	WP_000677332.1	94	97.768	yehC	b2110	yehC	LF82_RS11110														LF82_RS16855	b3224	29.17	7.26	238.4	44.45	13.96	7.34
NP_415622.1	WP_001225271.1	100	96	ycfL	b1104	ycfL	LF82_RS05585														LF82_RS16860	b3225	30.35	16.46	254.92	40.71	8.51	3.6
YP_009518801.1	WP_001296243.1	100	94.444	yojO	b4604	napF	LF82_RS26370														LF82_RS16865	b3226	98.98	67.69	219.57	205.06	338.99	98.2
NP_416828.1	WP_000559761.1	100	98.913	yfcL	b2325	yfcL	LF82_RS12215														LF82_RS16870	b3228	986.77	826.23	1376.92	1092.13	1574.86	620.9
NP_416171.1	WP_000108172.1	100	100	grxD	b1654	grxD	LF82_RS08600														LF82_RS16875	b3229	459.5	322.45	720.47	623.64	884.69	473.83
NP_417929.4	WP_001245296.1	100	99.459	dcrB	b3472	dcrB	LF82_RS18175														LF82_RS16880	b3230	2177.9	1578.64	1990.46	1776.08	2850.76	1535.57
NP_414687.1	WP_001155227.1	100	100	dksA	b0145	dksA	LF82_RS00775														LF82_RS16885	b3231	2870.95	2225.96	2487.86	2521	3858.9	1575.63
NP_415791.1	WP_000776253.1	100	100	cysB	b1275	cysB	LF82_RS06785														LF82_RS16890	b3232	33.05	28.41	70.86	55.52	60.21	35.12
NP_418622.1	WP_001296681.1	100	99.038	priB	b4201	priB	LF82_RS22555														LF82_RS16895	b3233	442	382.95	1363.62	592.02	578.42	141.05
NP_417217.1	WP_000590417.1	99	98.958	ygbK	b2737	ygbK	LF82_RS14200														LF82_RS16900	b3234	70.26	57.56	145.72	81.53	100.87	40.79
NP_416839.1	WP_000120668.1	100	74	yfcS	b2336	smrB	LF82_RS12275														LF82_RS16905	b3235	109.06	88.22	148.62	115.72	212.52	79.89
NP_415029.1	WP_000561824.1	100	98.756	ybbP	b0496	ybbP	LF82_RS02470														LF82_RS16910	b3236	490.04	249.34	2171.06	891.73	541.89	384.02
NP_414697.1	WP_000845407.1	100	99.577	clcA	b0155	clcA	LF82_RS00825														LF82_RS16915	b3237	204.43	149.6	320.66	262.75	364.33	120.39
NP_417259.1	WP_000036723.1	100	100	eno	b2779	eno	LF82_RS14400														LF82_RS16920	b3238	33	19.14	80.5	28	46.5	22.25
NP_416009.1	WP_000246011.1	100	99.609	gadC	b1492	gadC	LF82_RS07650														LF82_RS16925	b3239	7.12	5.62	34.7	16.62	14.03	10
NP_416462.1	WP_000867217.1	100	100	dsrB	b1952	dsrB	LF82_RS10135														LF82_RS16930	b3240	10.13	13.56	18.59	11.58	20.55	10.18
NP_415432.1	WP_000167336.1	100	100	ihfB	b0912	ihfB	LF82_RS04385														LF82_RS16935	b3241	5.62	4.22	14.6	7.27	16.81	6
NP_415264.1	WP_001098384.1	100	100	ybgC	b0736	ybgC	LF82_RS03460														LF82_RS16940	b3242	0.17	2.06	2.33	3	8	0
NP_416590.1	WP_000807379.1	100	96.99	gatR	b4498	yegS	LF82_RS11005														LF82_RS16945	b3243	46	25.29	82.9	34.39	29.71	13.5
NP_417697.1	WP_000829818.1	100	100	rpsI	b3230	rpsI	LF82_RS16880														LF82_RS16950	b3244	204.43	150.33	363.88	259.45	406.27	228
YP_001165315.1	WP_001331738.1	100	91.803	ymgJ	b4594	ymgG	LF82_RS23960														LF82_RS16955	b4472	390	301.59	742.5	419.82	658.53	296.78
NP_415625.1	WP_000529298.1	100	99.12	nagZ	b1107	nagZ	LF82_RS05600														LF82_RS16960	b3247	321.13	235.92	416.12	266.05	485.77	241.06
NP_418501.1	WP_000789589.1	100	99.771	gltP	b4077	gltP	LF82_RS21605														LF82_RS16965	b3248	146.02	91.46	157.28	132.58	200.18	122.5
NP_414935.1	WP_000149635.1	100	99.772	brnQ	b0401	brnQ	LF82_RS01970														LF82_RS16970	b3249	155.56	111.25	117.21	110.55	219.66	76.45
NP_417067.1	WP_001168459.1	100	100	rseA	b2572	rseA	LF82_RS13275														LF82_RS16975	b3250	361.62	274.68	330.41	307.03	538.12	285.17
NP_417026.1	WP_001241357.1	100	100	iscR	b2531	iscR	LF82_RS13090														LF82_RS16980	b3251	452.35	325.4	464.17	367.01	639.85	352.94
NP_417169.1	WP_000378442.1	100	100	mprA	b2684	emrR	LF82_RS13915														LF82_RS16990	b3252	297.11	217.78	486.96	119.98	193.76	86.88
NP_416099.1	WP_000598292.1	100	100	ynfA	b1582	ynfA	LF82_RS08225														LF82_RS16995	b3253	50.27	34.08	149.28	118.12	94.87	37.47
NP_418794.1	WP_015912596.1	100	98.599	yjjU	b4377	yjjU	LF82_RS23390														LF82_RS26260	#N/A	30.91	23.67	71.5	62.39	80.36	14.5
NP_417277.1	WP_000626404.1	100	99.78	sdaB	b2797	sdaB	LF82_RS14495														LF82_RS17015	b3255	650.23	472.5	938.07	635.5	946.75	399.42
NP_415010.1	WP_000671574.1	100	100	gsk	b0477	gsk	LF82_RS02355														LF82_RS17020	b3256	1610.06	1064.97	2334.21	1506.15	2392.11	1219.01
YP_026252.1	WP_014640241.1	100	99.595	gpp	b3779	gppA	LF82_RS19815														LF82_RS17025	#N/A	8.32	4.15	20.21	8.28	18.4	4.99
YP_026232.1	WP_000153839.1	100	84.941	yiaN	b3578	yiaN	LF82_RS18810														LF82_RS17030	#N/A	3.99	2.23	8.03	1.18	5.13	0.89
NP_416398.1	WP_000204320.1	100	98.951	cheR	b1884	cheR	LF82_RS25965														LF82_RS17035	#N/A	43.84	26.02	39.52	35.09	68.95	12.03
NP_415243.4	WP_001144719.1	100	98.851	abrB	b0715	abrB	LF82_RS25075														LF82_RS17040	#N/A	11.13	4.65	11.83	4.88	6.64	2.7
NP_418087.1	WP_001357918.1	100	84.151	waaP	b3630	rfaP	LF82_RS19035														LF82_RS17045	#N/A	4.41	7.09	10.1	6.07	7.85	1.14
NP_418167.1	WP_000748506.1	100	96.865	yidZ	b3711	yidZ	LF82_RS19500														LF82_RS17050	#N/A	6.62	4.51	10.27	3.25	8.97	4.14
NP_415567.1	WP_001304473.1	100	99.882	opgH	b1049	mdoH	LF82_RS05310														LF82_RS17055	#N/A	65.33	41.68	157.9	51.83	61.67	16.67
NP_417478.1	WP_001240712.1	100	100	exbD	b3005	exbD	LF82_RS15750														LF82_RS17060	#N/A	67.83	38.79	185.31	69	51.73	23
NP_417706.1	WP_001029013.1	100	100	yhcO	b3239	yhcO	LF82_RS16925														LF82_RS17065	b3257	23.32	18	48.79	20.38	22.5	8
NP_418460.1	WP_000973666.1	100	98.206	lamB	b4036	lamB	LF82_RS21360														LF82_RS17070	b3258	66.42	55.71	56.92	64.51	117.12	65.29
NP_418039.2	WP_001297963.1	100	96.503	sgbU	b3582	sgbU	LF82_RS18830														LF82_RS17075	b3259	73.73	43.77	110.45	80.16	112.85	98.41
NP_417713.2	WP_000123197.1	100	100	rng	b3247	rng	LF82_RS16960														LF82_RS17080	b3260	998.59	836.49	411.87	367.83	703.54	335.85
NP_417785.1	WP_001219895.1	100	99.391	gspE	b3326	gspE	LF82_RS17420														LF82_RS17085	b3261	349.33	327.06	178.25	102.63	227.42	144
NP_415689.2	WP_000979977.1	100	100	ymgD	b1171	ymgD	LF82_RS06195														LF82_RS17090	b3262	18.76	21.56	30.82	12.78	22.49	15.07
NP_417812.1	WP_000057390.1	100	97.941	yheT	b3353	yheT	LF82_RS17560														LF82_RS17095	b3263	1.17	5.75	11.44	7.5	7.5	4
NP_415699.5	WP_001339583.1	97	99.324	ycgN	b1181	hlyE	LF82_RS06255														LF82_RS17100	b3264	3.63	4.77	2.72	1.95	2.6	0.5
NP_418036.1	WP_000776928.1	100	95.732	yiaO	b3579	yiaO	LF82_RS18815														LF82_RS17105	b3265	5.32	1.77	4.58	3.63	6.53	1.13
NP_416625.1	WP_001292758.1	100	98.148	yehP	b2121	yehP	LF82_RS11170														LF82_RS17110	b3266	24.5	24.12	81.6	34.01	38.88	11.1
NP_418604.1	WP_000012542.1	100	97.717	yjfK	b4183	yjfK	LF82_RS22460														LF82_RS17120	b3267	1	1	5.17	5	0	0.25
NP_415176.1	WP_001044880.1	100	100	ybeL	b0643	ybeL	LF82_RS03045														LF82_RS17130	#N/A	3.53	2.79	12.37	10.49	11.41	5.65
NP_415757.1	WP_000301660.1	100	99.888	adhE	b1241	adhE	LF82_RS06605														LF82_RS17135	b3269	4.9	6.2	19.62	9.75	5.37	3
NP_416869.1	WP_000438675.1	100	98.191	emrK	b2368	emrK	LF82_RS12350														LF82_RS17140	b3270	6.72	1.75	6.87	8.63	4.81	6.57
NP_414665.1	WP_001189641.1	100	98.837	cueO	b0123	cueO	LF82_RS00660														LF82_RS17145	b3271	5.27	5.44	13.26	2.11	10.44	1
NP_415446.1	WP_001295932.1	100	100	mepK	b0926	mepK	LF82_RS04455														LF82_RS17150	#N/A	157.2	151.51	219.01	158.04	220.09	182.3
NP_417357.1	WP_000583648.1	100	99.582	xdhD	b2881	xdhD	LF82_RS14965														LF82_RS17155	#N/A	34266.88	19981.09	72507.07	52465.52	68999.32	18991.76
NP_418482.1	WP_000357763.1	100	99.894	uvrA	b4058	uvrA	LF82_RS21500														LF82_RS17160	#N/A	198.67	172.28	238.43	172.5	273.77	164.1
NP_417088.1	WP_000178456.1	100	100	raiA	b2597	raiA	LF82_RS13440														LF82_RS17165	#N/A	2308.87	1904.07	3727.25	2707.49	3522.54	2909.92
NP_414604.1	WP_000151734.1	100	99.6	araA	b0062	araA	LF82_RS00320														LF82_RS17170	#N/A	25310.69	26028.75	53451.91	39308.81	58061.31	20003.29
NP_415254.1	WP_001181488.1	100	99.786	sucA	b0726	sucA	LF82_RS03410														LF82_RS17175	#N/A	12922.26	15045.2	23712.14	15799.04	21166.67	7226.53
NP_418486.1	WP_000019358.1	100	100	soxS	b4062	soxS	LF82_RS21520														LF82_RS17180	#N/A	2816.29	2839.01	3929.57	2730.29	4459.96	1543.03
NP_416621.1	WP_000356768.1	100	91.405	yehI	b2118	yehI	LF82_RS11145														LF82_RS25845	#N/A	322.46	385.58	183.84	229.1	478.11	286.98
NP_417438.2	WP_000760323.1	100	100	mltC	b2963	mltC	LF82_RS15390														LF82_RS17185	b3279	41.1	22.28	92.31	42.26	31.19	18
NP_416440.1	WP_000790504.1	100	100	yedF	b1930	yedK	LF82_RS25725														LF82_RS17190	b3280	61.68	39.5	48.94	40.62	42.23	35.22
NP_416019.1	WP_000520591.1	100	97.039	ydeQ	b1502	ydeQ	LF82_RS07695														LF82_RS17195	b3281	134.17	84.89	143.16	80.14	121.48	57.17
NP_415524.1	WP_001151437.1	100	100	wrbA	b1004	wrbA	LF82_RS05090														LF82_RS17200	b3282	121.91	75.75	159.43	106.22	95.95	40.64
NP_415138.1	WP_000052796.1	100	100	ahpC	b0605	ahpC	LF82_RS02865														LF82_RS17205	b3283	204.77	154.24	728.7	223.4	220.43	72.44
NP_417040.2	WP_000700789.1	100	99.717	yphC	b2545	yphC	LF82_RS13130														LF82_RS17210	b3284	175.27	87.5	719.85	224.22	141.52	100.75
NP_416372.1	WP_000202996.1	100	100	znuC	b1858	znuC	LF82_RS09680														LF82_RS17215	b4473	50.05	28.96	174	63.27	47.95	18.42
NP_418686.1	WP_001128336.1	100	99.772	idnT	b4265	idnT	LF82_RS22895														LF82_RS17220	b3287	349.1	218.47	469	392.17	547.31	238.74
NP_415839.1	WP_001304406.1	100	99.415	tyrR	b1323	tyrR	LF82_RS07040														LF82_RS17225	b3288	448.03	405.92	622.98	505.57	773.59	260.31
NP_416962.1	WP_014640188.1	100	96.859	nudK	b2467	nudK	LF82_RS12795														LF82_RS17230	b3289	112.6	53.46	130.49	109.92	191.63	78.14
NP_416060.1	WP_000526701.1	100	96.914	ydfI	b1542	ydfJ	LF82_RS07925														LF82_RS17235	b3290	96.24	84.82	114.59	105	163.16	77.07
NP_415470.1	WP_000333176.1	100	100	pqiA	b0950	pqiA	LF82_RS04545														LF82_RS17240	b3291	99.56	55.71	157.2	150.06	216	108.92
NP_414920.1	WP_001298540.1	100	98.885	proC	b0386	proC	LF82_RS01890														LF82_RS17245	b4550	35.25	39.33	63.55	17.96	44.46	13
NP_417840.1	WP_000497360.1	100	93.798	yhfX	b3381	yhfX	LF82_RS17675														LF82_RS17250	b3292	30.96	19.75	76.56	34.27	29.71	42.56
NP_415022.1	WP_000904497.1	100	99.672	qmcA	b0489	qmcA	LF82_RS02435														LF82_RS17255	b3293	47.25	31.28	63.18	27.1	39.8	27.75
NP_417628.2	WP_001296442.1	100	99.315	ubiV	b3159	ubiV	LF82_RS16555														LF82_RS17260	b3294	3538.03	2720.73	3388.69	2871.37	4173.75	2050.67
NP_416631.1	WP_001240405.1	100	99.177	mlrA	b2127	mlrA	LF82_RS11200														LF82_RS17265	b3295	8338.22	5768.88	7186.12	6620.58	9932.41	5435.78
NP_416090.2	WP_000344964.1	100	100	ydfB	b1572	ydfB	LF82_RS26360														LF82_RS17270	b3296	6610.98	4672.39	5056.47	5367.52	7982.76	4406.49
NP_416335.4	WP_001296134.1	100	100	mntP	b1821	mntP	LF82_RS09460														LF82_RS17275	b3297	3564.8	2310.63	2745.28	3037.54	4221.38	1942.89
NP_415054.1	WP_000855409.1	100	98.316	ybcF	b0521	ybcF	LF82_RS02560														LF82_RS17280	b3298	4651.23	3508.86	5305.12	3786.64	6039.07	3623.68
NP_418647.1	WP_000055072.1	100	98.864	ppa	b4226	ppa	LF82_RS22705														LF82_RS17285	b3299	1382.71	1136.9	1613.6	1346.51	1940.38	934.64
NP_417598.1	WP_001296435.1	100	97.297	prlF	b3129	prlF	LF82_RS16420														LF82_RS17290	b3300	9491.39	7134.07	9524.51	8270.98	12654.37	6146.38
NP_416284.1	WP_000719088.1	100	99.206	ydjF	b1770	ydjF	LF82_RS09200														LF82_RS17295	b3301	2787.55	1884.42	2600.77	2343.05	3564.32	2269.5
NP_416807.1	WP_001028306.1	100	98.316	yfcH	b2304	yfcH	LF82_RS12110														LF82_RS17300	b3302	1550.32	1038.39	1384.27	1353.25	1844.29	1058.08
NP_418295.1	WP_001295263.1	100	100	yihD	b3858	yihD	LF82_RS20330														LF82_RS17305	b3303	3755.24	2339.91	3098.33	3110.71	4772.6	3051.59
NP_417404.1	WP_000224166.1	100	97.041	fumE	b2929	fumE	LF82_RS25360														LF82_RS17310	b3304	2666.7	1800.56	2020.28	2412.29	3580.17	1992.81
NP_416274.1	WP_000085228.1	100	96.667	ynjH	b1760	ynjH	LF82_RS09145														LF82_RS17315	b3305	4133.84	2773.55	2569.79	3487.97	5396.58	3493.21
NP_416686.1	WP_000202798.1	100	100	yejG	b2181	yejG	LF82_RS11490														LF82_RS17320	b3306	4134.55	2734.38	2162.27	3479.07	5400.2	2575.01
